Country;Month;Year;Purpose;Visitors
USA;4;2014;Holiday;8304
USA;4;2014;Visiting friends & relatives;2784
USA;4;2014;Business;1488
USA;4;2014;Education;288
USA;4;2014;Conferences & conventions;400
USA;4;2013;Holiday;6800
USA;4;2013;Visiting friends & relatives;2704
USA;4;2013;Business;1808
USA;4;2013;Education;240
USA;4;2013;Conferences & conventions;352
USA;3;2017;Holiday;26016
USA;3;2017;Visiting friends & relatives;6304
USA;3;2017;Business;2752
USA;3;2017;Education;688
USA;3;2017;Conferences & conventions;768
USA;3;2016;Holiday;22768
USA;3;2016;Visiting friends & relatives;5264
USA;3;2016;Business;2144
USA;3;2016;Education;384
USA;3;2016;Conferences & conventions;576
USA;3;2015;Holiday;17664
USA;3;2015;Visiting friends & relatives;4960
USA;3;2015;Business;2288
USA;3;2015;Education;512
USA;3;2015;Conferences & conventions;272
USA;3;2014;Holiday;17792
USA;3;2014;Visiting friends & relatives;4800
USA;3;2014;Business;2464
USA;3;2014;Education;160
USA;3;2014;Conferences & conventions;256
USA;3;2013;Holiday;16016
USA;3;2013;Visiting friends & relatives;4816
USA;3;2013;Business;1952
USA;3;2013;Education;224
USA;3;2013;Conferences & conventions;352
USA;2;2017;Holiday;33632
USA;2;2017;Visiting friends & relatives;7808
USA;2;2017;Business;2208
USA;2;2017;Education;1280
USA;2;2017;Conferences & conventions;496
USA;2;2016;Holiday;25376
USA;2;2016;Visiting friends & relatives;6208
USA;2;2016;Business;2448
USA;2;2016;Education;1200
USA;2;2016;Conferences & conventions;272
USA;2;2015;Holiday;25424
USA;2;2015;Visiting friends & relatives;5968
USA;2;2015;Business;1984
USA;2;2015;Education;1232
USA;2;2015;Conferences & conventions;448
USA;2;2014;Holiday;21728
USA;2;2014;Visiting friends & relatives;5024
USA;2;2014;Business;2240
USA;2;2014;Education;1008
USA;2;2014;Conferences & conventions;416
USA;2;2013;Holiday;18064
USA;2;2013;Visiting friends & relatives;4304
USA;2;2013;Business;2272
USA;2;2013;Education;880
USA;2;2013;Conferences & conventions;256
USA;1;2017;Holiday;22704
USA;1;2017;Visiting friends & relatives;5904
USA;1;2017;Business;2128
USA;1;2017;Education;1152
USA;1;2017;Conferences & conventions;336
USA;1;2016;Holiday;19184
USA;1;2016;Visiting friends & relatives;5168
USA;1;2016;Business;2128
USA;1;2016;Education;848
USA;1;2016;Conferences & conventions;304
USA;1;2015;Holiday;16352
USA;1;2015;Visiting friends & relatives;4112
USA;1;2015;Business;1584
USA;1;2015;Education;944
USA;1;2015;Conferences & conventions;432
USA;1;2014;Holiday;15152
USA;1;2014;Visiting friends & relatives;3888
USA;1;2014;Business;1824
USA;1;2014;Education;1072
USA;1;2014;Conferences & conventions;240
USA;1;2013;Holiday;16800
USA;1;2013;Visiting friends & relatives;3040
USA;1;2013;Business;1392
USA;1;2013;Education;1056
USA;1;2013;Conferences & conventions;1104
USA;11;2016;Holiday;24864
USA;11;2016;Visiting friends & relatives;4720
USA;11;2016;Business;2032
USA;11;2016;Education;416
USA;11;2016;Conferences & conventions;576
USA;11;2015;Holiday;18976
USA;11;2015;Visiting friends & relatives;3552
USA;11;2015;Business;1984
USA;11;2015;Education;192
USA;11;2015;Conferences & conventions;784
USA;11;2014;Holiday;16800
USA;11;2014;Visiting friends & relatives;3728
USA;11;2014;Business;1936
USA;11;2014;Education;400
USA;11;2014;Conferences & conventions;336
USA;11;2013;Holiday;14544
USA;11;2013;Visiting friends & relatives;3440
USA;11;2013;Business;2048
USA;11;2013;Education;208
USA;11;2013;Conferences & conventions;208
USA;12;2016;Holiday;28528
USA;12;2016;Visiting friends & relatives;10576
USA;12;2016;Business;1440
USA;12;2016;Education;512
USA;12;2016;Conferences & conventions;304
USA;12;2015;Holiday;21280
